Sample,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils,IS
TCGA_AA_3994,-0.019362241,0.0327808,0.005093028,0.001144231,0.003475961,-0.005132823,0.002285499,-0.001259256,-0.000754678,0.000867184,0.00533336,-0.005903913,0.000252961,-0.001381939,8.61E-05,0.001025852,-0.000181295,0.000221004,-0.000128517,0.003555119,-0.000501155,3.32E-05,3
TCGA_AA_A00N,-0.01177757,0.020634814,0.003618147,0.00053895,0.00185342,-0.002721433,0.001407309,-0.000732166,-0.00035474,0.000485747,0.003743942,-0.004144241,8.93E-05,0.000161415,0.000134328,0.000675601,5.34E-05,0.000125632,-0.000649662,0.002748043,-0.000479033,2.45E-05,3
TCGA_AA_A00O,-0.003167262,0.005918129,0.000884658,0.000256834,0.000183238,-0.000625499,0.000388361,-3.24E-05,-1.86E-05,5.57E-05,0.001159414,-0.001172306,0.000134519,0.000346512,0.000252461,0.000169408,-4.76E-06,1.87E-05,8.53E-05,0.000664813,-0.000250877,-4.69E-05,3
TCGA_AA_A01D,-0.004619135,0.008264194,0.001175239,0.000354992,0.000292914,-0.001139777,0.000604058,-0.000145538,0.000332514,0.000121868,0.001702975,-0.001863504,-0.000335136,0.001796708,0.000187269,0.000513827,0.001658595,-0.000154085,-0.000160249,0.00125547,-0.000198946,3.73E-05,3
TCGA_AA_A01I,-0.029072515,0.048714303,0.007845958,0.001577831,0.005367949,-0.007913494,0.003425845,-0.001643489,-0.001288012,0.001284926,0.007737534,-0.008600709,0.000207056,-0.002063315,0.000267344,0.001082307,-0.000414057,0.000345113,-0.000501314,0.005146982,-0.000822328,-3.63E-05,3
TCGA_AA_A01R,-0.030551597,0.053560019,0.011979267,0.003356186,0.001832381,-0.006441805,0.004042486,-0.000137919,-0.000902852,0.001999628,0.007885845,-0.009302258,-0.000477313,-0.001411804,0.001116766,0.002230623,-0.000184171,0.000695031,-0.00050016,0.005244298,-0.000827673,0.000107108,3
TCGA_AA_A01S,-0.00127705,0.0027409,0.000320494,1.83E-06,0.00030829,-0.000363904,0.000522868,-0.000199275,-3.83E-05,2.62E-05,0.000823565,-0.000861914,7.42E-05,-0.000135567,1.34E-05,5.61E-05,-4.87E-05,2.49E-07,-0.000237718,0.000597292,-0.000159009,-1.89E-05,3
TCGA_AA_A01T,-0.001272984,0.003624828,0.000309689,-9.05E-05,0.000151387,-0.000170166,0.000513578,-0.000265147,0.000113449,0.000106119,0.001358362,-0.001530573,2.98E-06,-0.000309588,0.000138662,-1.91E-06,-0.000185523,8.78E-05,-0.00078707,0.001276272,-0.000480619,-1.56E-05,3
TCGA_AA_A01X,-0.004300565,0.008446021,0.001840944,0.00025915,0.000611233,-0.00104109,0.000678018,-6.42E-05,-0.000205096,0.000196626,0.001524934,-0.001701941,3.05E-05,-0.000351014,9.64E-05,0.000224215,2.42E-06,3.90E-05,-0.00016331,0.001022054,-0.00017078,2.35E-05,3
TCGA_AA_A01Z,-0.002815062,0.005521899,0.001165863,-3.65E-05,0.000469446,-0.000509998,0.00039835,-0.000222127,-3.76E-06,0.000147651,0.001619092,-0.001778034,6.14E-05,-0.000356816,-5.03E-06,1.91E-06,-0.000158682,4.28E-06,-0.001198333,0.001551094,-0.00033172,-2.47E-05,3
TCGA_AA_A02E,-0.018522615,0.032196216,0.004291371,0.000156937,0.003504825,-0.004120468,0.003028103,-0.001730805,-0.000460342,0.000841304,0.007676949,-0.008527536,-2.77E-05,-0.002142319,-8.82E-05,0.000456422,-0.000788458,0.000330335,-0.004764661,0.006548745,-0.00134201,-4.45E-05,3
TCGA_AA_A02F,-0.001556779,0.003496988,0.000348811,8.78E-05,0.000220577,-0.000334711,0.000383074,-0.000262758,-1.95E-05,0.000164119,0.00089143,-0.001026051,5.41E-05,-0.00019659,3.23E-05,7.23E-05,-6.16E-05,1.78E-05,-0.000190227,0.000727958,-0.000202263,-1.14E-05,3
TCGA_AA_A02J,-0.001849251,0.003933465,0.000390042,-0.000309581,0.00053714,-0.00034553,0.001506927,-0.000491455,-0.000102573,-6.11E-05,0.001949576,-0.001994189,-1.78E-05,-0.000421724,-4.43E-05,-3.10E-05,-0.000172152,4.04E-05,-0.00144704,0.001587751,-0.000489366,-6.13E-06,3
TCGA_AA_A02K,-0.006858227,0.012336044,0.00168424,6.48E-05,0.001437983,-0.001910567,0.000942119,-0.000754841,-0.000114418,0.000568998,0.002350376,-0.002779358,0.000203537,-4.20E-05,-3.79E-05,-0.000475345,-0.000340848,5.06E-05,-0.001073303,0.001999362,-0.000527567,-8.67E-05,3
TCGA_AA_A02O,-0.037081909,0.062537647,0.010456457,0.002085268,0.007145761,-0.010526738,0.004512407,-0.002195913,-0.001540248,0.001640045,0.009916626,-0.01095471,0.000382389,-0.002459825,6.57E-05,0.001547766,-0.000599419,0.000429811,-0.000418778,0.006433852,-0.000929021,-2.67E-05,3
TCGA_AA_A02Y,-0.006298876,0.011392909,0.001846165,0.000450145,1.13E-05,-0.00060038,0.001074689,-0.000252686,-0.000121283,0.000298408,0.002586379,-0.002925627,-5.59E-05,-0.000688417,0.000304858,3.01E-05,-1.75E-05,0.0002632,-0.001053771,0.00217552,-0.000498452,-2.46E-06,3
TCGA_AA_A03J,-0.031599837,0.054212278,0.010182782,0.00213629,0.005637325,-0.00903567,0.004377121,-0.001480821,-0.001682216,0.001341207,0.008658901,-0.009418221,0.000292286,-0.002126553,0.000216682,0.00176071,-0.000462998,0.000472984,8.52E-05,0.005256175,-0.000695666,8.48E-06,3
TCGA_AA_A024,-0.01423909,0.024608827,0.003681234,0.000344097,0.002676015,-0.003541315,0.001735,-0.00117926,-0.00040233,0.001164412,0.004404391,-0.005079763,9.72E-05,-0.001130272,-8.73E-06,0.000473391,-0.000412878,0.000186699,-0.000920877,0.003467061,-0.000723284,-2.61E-05,3
TCGA_AA_A029,-0.006044469,0.010757741,0.001620826,0.000178848,0.001053086,-0.001440696,0.000942924,-0.000510391,-0.000120745,0.000314798,0.002346014,-0.002603938,-4.68E-06,-0.000501356,1.71E-05,0.000149913,0.000180021,6.74E-05,-0.000946532,0.001890136,-0.000420079,-9.71E-06,3
